# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
fen hao 	分号	c=3 d=6.02748e-08 t=102671
fen hua 	分化	c=1 d=1 t=101228
fen ji 	分级	c=1 d=5.05379e-31 t=102671
fen kai 	分开	c=1 d=1 t=85773
fen lei 	分类	c=2 d=7.97404e-14 t=102671
fen li 	分离	c=7 d=1.51231e-108 t=102671
fen li qi 	分离器	c=3 d=2.81401e-14 t=102671
fen mo 	粉末	c=12 d=0.803928 t=102671
fen pei 	分配	c=0 d=9.29204e-138 t=102671
fen pei yi xia 	分配一下	c=1 d=9.33861e-137 t=102671
fen pi 	分批	c=2 d=1.90937 t=88022
fen ping 	分屏	c=1 d=1.46718e-98 t=102671
fen qu 	分区	c=19 d=0.00201998 t=102671
fen san 	分散	c=9 d=2.42711e-20 t=102671
fen san lv 	分散率	c=1 d=5.96325e-66 t=102671
fen shi 	分时	c=16 d=0.778801 t=102671
fen shi qi jia 	分时气价	c=1 d=2.88628e-29 t=102671
fen wei 	分为	c=2 d=0.224249 t=102671
fen xi 	分析	c=9 d=6.98033e-07 t=102671
fen xi yi xia 	分析一下	c=1 d=7.48143e-146 t=102671
fen xiang 	分享	c=5 d=0.927743 t=102671
fen zhi 	分值	c=1 d=2.24043e-49 t=102671
fen zhong 	分钟	c=1 d=4.86405e-22 t=102671
fen zu 	分组	c=1 d=1 t=79821
feng 	风	c=4 d=6.38932e-25 t=102671
feng ban 	封板	c=3 d=2.57328 t=92618
feng bi 	封闭	c=5 d=1.67069 t=97629
feng bi xkkt 	封闭型	c=1 d=1 t=95083
feng bo 	冯波	c=1 d=9.72304e-141 t=102671
feng ding 	封顶	c=3 d=3.52531e-29 t=102671
feng du 	封堵	c=4 d=6.81111e-12 t=102671
feng gu 	峰谷	c=2 d=6.83956e-32 t=102671
feng he 	缝合	c=2 d=5.29403e-124 t=102671
feng he xian 	缝合线	c=1 d=2.6001e-124 t=102671
feng ji 	风机	c=9 d=3.36675e-17 t=102671
feng jing 	风景	c=1 d=2.08486e-114 t=102671
feng mian 	封面	c=2 d=8.496e-54 t=102671
feng qin 	风琴	c=1 d=1.01588 t=99076
feng qin uiy 	风琴式	c=12 d=1.17685 t=99885
feng qing jie 	风情街	c=1 d=4.87384e-75 t=102671
feng sha 	封杀	c=1 d=8.19488e-100 t=102671
feng shan 	风扇	c=3 d=5.62036e-73 t=102671
feng sheng 	丰盛	c=1 d=1 t=100381
feng tong 	风筒	c=26 d=6.6676e-115 t=102671
feng xi 	缝隙	c=4 d=1.95085e-09 t=102671
feng xian 	风险	c=15 d=1.79188e-05 t=102671
feng zhi 	峰值	c=7 d=9.90186e-32 t=102671
feng zhi 	缝制	c=6 d=1.19966e-120 t=102671
feng zhi ya li 	峰值压力	c=1 d=4.51446e-115 t=102671
ffb po 	分破	c=1 d=5.38219e-07 t=102671
ffm 	粉	c=1 d=1.46373e-41 t=102671
ffr 	份	c=5 d=4.98422e-05 t=102671
fga 	丰	c=1 d=2.61403e-128 t=102671
fgb 	疯	c=1 d=4.79816e-38 t=102671
fgd 	冯	c=7 d=0.0209629 t=102671
fgdm; 	冯	c=5 d=8.1366e-130 t=102671
fgdm; lao shi 	冯老师	c=2 d=5.90832e-16 t=102671
fge 	峰	c=1 d=6.37716e-32 t=102671
fgjx; hxc; uumc; 	风花树	c=2 d=6.03139e-82 t=102671
fgt 	封	c=1 d=2.84679e-14 t=102671
fhe 	防	c=8 d=4.49482e-05 t=102671
fhe jps; luy 	防结露	c=1 d=2.42267e-116 t=102671
fhf 	邡	c=2 d=2.34348e-78 t=102671
fjc 	范	c=2 d=1.44507 t=102671
fjc lao shi 	范老师	c=1 d=3.88035e-99 t=102671
fjh 	烦	c=3 d=0.341301 t=102671
fjj 	帆	c=1 d=1 t=95499
fjm 	樊	c=0 d=5.83883e-113 t=102671
fjp 	反	c=1 d=1 t=80715
fjp 	翻	c=9 d=7.69036e-29 t=102671
fjpy; chui 	反吹	c=62 d=3.81935e-114 t=102671
fjpy; chui qian 	反吹前	c=1 d=2.25344e-117 t=102671
fjpy; chui qip 	反吹气	c=6 d=2.31156e-115 t=102671
fjpy; chui uiy 	反吹式	c=1 d=2.90946e-123 t=102671
fjpy; chui zu jian 	反吹组件	c=1 d=6.18809e-119 t=102671
fjq 	犯	c=1 d=1.99026e-09 t=102671
fju 	饭	c=2 d=1.01455 t=89556
fjz 	返	c=2 d=5.24272e-51 t=102671
fjz gch 	返稿	c=2 d=0.00321477 t=102671
fjz; gch 	返稿	c=1 d=4.21984e-28 t=102671
fong 	甮	c=1 d=3.20006e-96 t=102671
fou ding 	否定	c=1 d=5.37709e-84 t=102671
fou ze 	否则	c=19 d=0.000295651 t=102671
fu 	副	c=37 d=0.0583117 t=102671
fu ben 	副本	c=17 d=5.05293e-29 t=102671
fu bu 	腹部	c=3 d=1.50287e-106 t=102671
fu chu 	付出	c=1 d=4.21154e-92 t=102671
fu dai 	附带	c=4 d=8.87675e-11 t=102671
fu dan 	复旦	c=1 d=2.94609e-35 t=102671
fu dan 	负担	c=1 d=1.82355e-68 t=102671
fu dao gui 	副导轨	c=12 d=6.72653 t=102154
fu dian 	浮点	c=1 d=3.39841e-127 t=102671
fu dian 	负电	c=1 d=1.01646e-45 t=102671
fu du 	幅度	c=1 d=1.0208e-95 t=102671
fu gai 	覆盖	c=6 d=0.0128424 t=102671
fu guan 	副官	c=0 d=0.1 t=102112
fu guan lun 	副官轮	c=1 d=1 t=102113
fu gui dao 	副轨道	c=12 d=6.90983 t=101857
fu gun lun 	副滚轮	c=4 d=3.68919 t=102114
fu hao 	符号	c=24 d=1 t=102671
fu he 	复合	c=5 d=2.31992e-18 t=102671
fu he 	符合	c=25 d=1.04531e-10 t=102671
fu he 	负荷	c=29 d=1.25333 t=102671
fu jian 	附件	c=4 d=6.39802e-41 t=102671
fu jin 	附近	c=1 d=9.98405e-41 t=102671
fu kuan 	付款	c=8 d=2.69353e-10 t=102671
fu kuan fang shi 	付款方式	c=1 d=5.94704e-34 t=102671
fu kuan ren 	付款人	c=2 d=1.07792e-51 t=102671
fu lan ya 	副蓝牙	c=3 d=4.47423e-67 t=102671
fu lan ya mo kuai 	副蓝牙模块	c=3 d=1.49395e-66 t=102671
fu mu 	父母	c=2 d=7.21328e-99 t=102671
fu qing 	付清	c=1 d=1.12368e-107 t=102671
fu shang 	附上	c=3 d=0.927743 t=102671
fu she 	辐射	c=1 d=1.49239e-122 t=102671
fu shen 	复审	c=19 d=0.787158 t=102671
fu shen wei 	复审委	c=1 d=1 t=94968
fu shi tu 	俯视图	c=3 d=1.31895e-51 t=102671
fu song 	附送	c=1 d=1 t=79206
fu tu 	附图	c=17 d=0.715338 t=102671
fu wei 	复位	c=26 d=9.34747e-60 t=102671
fu wei kuan 	付尾款	c=1 d=1.30117e-09 t=102671
fu wei tan huang 	复位弹簧	c=6 d=1.53521e-90 t=102671
fu wu 	服务	c=11 d=0.0461896 t=102671
fu wu fei 	服务费	c=17 d=0.0290133 t=102671
fu wu qi 	服务器	c=5 d=0.171924 t=102671
fu xia 	服下	c=1 d=1 t=87935
fu ya 	负压	c=1 d=2.63096e-57 t=102671
fu ye 	副业	c=2 d=1.93707 t=80163
fu yin jian 	复印件	c=17 d=0.778809 t=102671
fu za 	复杂	c=13 d=5.57485e-09 t=102671
fu zai 	负载	c=3 d=1.00138 t=90253
fu zai ce 	负载侧	c=1 d=1 t=89013
fu ze 	负责	c=5 d=9.31805e-13 t=102671
fu zhen 	复诊	c=1 d=3.29639e-92 t=102671
fu zhi 	复制	c=14 d=3.36351e-20 t=102671
fu zhi 	赋值	c=1 d=1.79243e-42 t=102671
fu zhu 	辅助	c=13 d=9.28059e-05 t=102671
fu zhuo 	附着	c=5 d=2.347e-108 t=102671
fu zong 	副总	c=1 d=9.43529e-23 t=102671
fuad; mum 	副模	c=3 d=0.00010414 t=102671
fuad; mum tir 	副模体	c=3 d=0.00014053 t=102671
fudr; 	负	c=2 d=8.94282e-10 t=102671
fuec 	附	c=1 d=3.63132e-54 t=102671
fuif; 	辅	c=13 d=3.96422e-42 t=102671
fuj 	幅	c=1 d=1 t=93054
fuk ren 	呋人	c=1 d=5.89689e-52 t=102671
fun uiyg; 	妇试	c=1 d=2.50846e-143 t=102671
fuoy 	服	c=1 d=1 t=101702
fuoy; 	服	c=1 d=0.0587185 t=102671
fur 	付	c=5 d=3.60718e-05 t=102671
fur; 	付	c=1 d=2.29334e-147 t=102671
furc; uip 	俯视	c=1 d=2.65029e-143 t=102671
fux 	覆	c=3 d=2.24051e-20 t=102671
fwf 	斐	c=2 d=1.79463e-27 t=102671
fwfr 	费	c=1 d=0.718924 t=102671
fwg 	废	c=3 d=1.13411e-10 t=102671
gai 	改	c=23 d=0.485126 t=102671
gai 	该	c=69 d=0.0152997 t=102671
gai ban 	盖板	c=9 d=0.281495 t=102671
gai bian 	改变	c=1 d=5.62459e-84 t=102671
gai bu hui 	该不会	c=1 d=2.7532e-150 t=102671
gai cheng 	改成	c=6 d=5.19707e-07 t=102671
gai chu 	该处	c=1 d=2.0522e-46 t=102671
gai duan luo 	该段落	c=1 d=1 t=88483
gai fan 	盖饭	c=1 d=1.77345e-05 t=102671
gai guo lai 	改过来	c=2 d=7.34149e-71 t=102671
gai hao 	改好	c=1 d=1.56129e-06 t=102671
gai jin 	改进	c=39 d=1.63242 t=102671
gai jin dian 	改进点	c=6 d=1.95284e-21 t=102671
gai kuo 	概括	c=3 d=1.78678e-93 t=102671
gai le 	改了	c=1 d=5.51321e-84 t=102671
gai lv 	概率	c=17 d=1.50784e-08 t=102671
gai ming 	改名	c=1 d=1.34171e-17 t=102671
gai mo xing 	该模型	c=1 d=2.65749e-28 t=102671
gai nian 	概念	c=3 d=1.29781e-08 t=102671
gai pi 	该批	c=1 d=6.18974e-34 t=102671
gai qian 	改签	c=2 d=3.73628e-87 t=102671
gai qu bie 	该区别	c=2 d=3.90747e-25 t=102671
gai ren 	该人	c=2 d=2.88465e-28 t=102671
gai shan 	改善	c=23 d=1.85773e-05 t=102671
gai sui 	改岁	c=1 d=1.64665e-44 t=102671
gai tu 	改图	c=1 d=5.64395e-95 t=102671
gai wen ti 	该问题	c=1 d=1 t=88060
gai xing 	改性	c=6 d=3.55077e-41 t=102671
gai yi xia 	改一下	c=1 d=4.80225e-48 t=102671
gai ying 	该应	c=1 d=0.0148464 t=102671
gai zhang 	盖章	c=95 d=0.778801 t=102671
gai zi 	盖子	c=1 d=9.91777e-139 t=102671
gan 	干	c=4 d=7.97811e-20 t=102671
gan bu gan 	敢不敢	c=1 d=1.12359e-18 t=102671
gan fan 	干翻	c=2 d=1.53718e-79 t=102671
gan ga 	尴尬	c=1 d=4.60629e-146 t=102671
gan jue 	感觉	c=26 d=1.99995e-05 t=102671
gan ma 	干嘛	c=9 d=3.54049e-07 t=102671
gan mao 	感冒	c=1 d=6.88181e-75 t=102671
gan rao 	干扰	c=4 d=1.54842e-23 t=102671
gan she 	干涉	c=3 d=5.43316e-59 t=102671
gan shou 	感受	c=1 d=2.84554e-97 t=102671
gan xie 	感谢	c=13 d=3.01502e-13 t=102671
gan xing qu 	感兴趣	c=1 d=0.0468877 t=102671
gan ying 	感应	c=7 d=0.0426094 t=102671
gan ying qi 	感应器	c=3 d=0.0390897 t=102671
gan zao 	干燥	c=1 d=1.42313e-63 t=102671
gan zhi 	感知	c=1 d=3.5075e-87 t=102671
gang 	刚	c=5 d=2.41254e-08 t=102671
gang ban 	钢板	c=1 d=1 t=96573
gang du 	刚度	c=1 d=5.0928e-92 t=102671
gang gang 	刚刚	c=61 d=5.84456e-06 t=102671
gang gang hao 	刚刚好	c=1 d=2.0495e-148 t=102671
gang gang na ge 	刚刚那个	c=1 d=6.21805e-117 t=102671
gang guan 	钢管	c=1 d=1 t=84074
gang hao 	刚好	c=19 d=8.48616e-11 t=102671
gang qi chuang 	刚起床	c=1 d=2.58134e-127 t=102671
gang qin 	钢琴	c=6 d=6.58166e-21 t=102671
gang tie 	钢铁	c=1 d=2.4119e-93 t=102671
gao 	搞	c=3 d=2.5559e-40 t=102671
gao 	高	c=50 d=0.000169319 t=102671
gao bu ding 	搞不定	c=1 d=1 t=95228
gao de 	搞得	c=1 d=5.7195e-75 t=102671
gao de 	高的	c=1 d=5.69098e-75 t=102671
gao dian 	糕点	c=1 d=1.55832e-13 t=102671
gao ding 	搞定	c=7 d=2.22744e-10 t=102671
gao dong 	搞懂	c=1 d=1 t=85010
gao du 	高度	c=74 d=0.880701 t=102671
gao du cha 	高度差	c=1 d=6.32467e-23 t=102671
gao du shang 	高度上	c=1 d=0.0288686 t=102671
gao feng 	高峰	c=2 d=7.00624e-86 t=102671
gao gong zi 	高工资	c=1 d=7.22996e-38 t=102671
gao guan 	高管	c=1 d=5.92664e-23 t=102671
gao hai ba 	高海拔	c=1 d=1.30127e-98 t=102671
gao huo dong 	搞活动	c=1 d=2.19465e-12 t=102671
gao ji 	高级	c=1 d=3.47722e-132 t=102671
gao jian 	稿件	c=69 d=0.882497 t=102671
gao jin 	高金	c=10 d=2.15032e-66 t=102671
gao jing du 	高精度	c=1 d=7.00651e-51 t=102671
gao kao 	高考	c=1 d=0.063609 t=102671
gao liang 	高亮	c=3 d=3.92791e-100 t=102671
gao qi 	高企	c=14 d=3.86356e-38 t=102671
gao qing chu 	搞清楚	c=1 d=2.54464e-135 t=102671
gao shou 	高手	c=2 d=1.77538e-98 t=102671
gao su 	高速	c=7 d=4.90971e-46 t=102671
gao wei 	高危	c=2 d=1.37896e-08 t=102671
gao xiao 	高效	c=1 d=1.37013e-87 t=102671
gao xiao 	高校	c=1 d=1.36329e-87 t=102671
gao ya 	高压	c=4 d=2.21155e-15 t=102671
gao yi xie 	高一些	c=2 d=1.95123 t=85582
gao yu 	高于	c=3 d=0.173774 t=102671
gao zhi 	告知	c=3 d=0.000505617 t=102671
gcf 	搞	c=5 d=5.42213e-35 t=102671
gch 	稿	c=17 d=1.12167 t=102671
gch; 	稿	c=0 d=5.2431e-141 t=102671
gcwk; jxb; lih; 	高家利	c=1 d=4.92502e-139 t=102671
gdj jin 	改进	c=1 d=5.64546e-10 t=102671
gdy 	盖	c=40 d=0.734787 t=102671
gdy 	该	c=3 d=6.29787e-120 t=102671
ge 	个	c=122 d=1.3929 t=102671
ge 	各	c=41 d=0.652574 t=102671
ge 	革	c=2 d=1.92847e-09 t=102671
ge ba 	个把	c=1 d=4.44195e-101 t=102671
ge bie 	个别	c=1 d=1.42275e-148 t=102671
ge bu 	各部	c=0 d=2.73443e-100 t=102671
ge bu fen 	各部分	c=2 d=3.06694e-08 t=102671
ge bu jmr 	各部件	c=3 d=0.000108094 t=102671
ge bu xiang tong 	各不相同	c=4 d=6.46253e-12 t=102671
ge chu 	各处	c=5 d=6.50093e-111 t=102671
ge ge 	各个	c=1 d=9.49651e-99 t=102671
ge jia 	各家	c=1 d=6.9144e-13 t=102671
ge lei 	各类	c=1 d=2.67955e-37 t=102671
ge li 	隔离	c=1 d=2.42275e-87 t=102671
ge nan 	个男	c=0 d=1.66269e-12 t=102671
ge qu 	歌曲	c=1 d=5.38883e-139 t=102671
ge ren 	个人	c=27 d=1.73917e-08 t=102671
ge shi 	格式	c=28 d=0.0916297 t=102671
ge shi duan 	各时段	c=1 d=0.687289 t=102671
ge shi hua 	格式化	c=1 d=2.59329e-05 t=102671
ge shu 	个数	c=1 d=6.06265e-84 t=102671
ge si la 	哥斯拉	c=1 d=1.11469e-42 t=102671
ge ti 	个体	c=1 d=9.84745e-26 t=102671
ge wei 	各位	c=1 d=4.16964e-92 t=102671
ge xiang 	各项	c=2 d=0.675812 t=102671
ge xlm 	各相	c=5 d=0.369723 t=102671
ge yi 	各异	c=3 d=6.24026e-12 t=102671
ge yue 	个月	c=11 d=0.000960551 t=102671
ge zhong 	各种	c=3 d=9.54411e-99 t=102671
gea 	哥	c=4 d=5.53461e-12 t=102671
gedk; 	哥	c=2 d=4.93148e-136 t=102671
gee 	隔	c=6 d=0.0113334 t=102671
gee tao 	隔套	c=3 d=2.95566 t=90822
gei 	给	c=64 d=0.722527 t=102671
gei chu 	给出	c=9 d=4.25399e-23 t=102671
gei guo 	给过	c=1 d=1.19303e-47 t=102671
gei ke hu 	给客户	c=1 d=1.78636e-149 t=102671
gei ni 	给你	c=45 d=0.763033 t=102671
gei ni men 	给你们	c=10 d=2.06806e-09 t=102671
gei ni men xue xiao 	给你们学校	c=1 d=1 t=83657
gei ni qian 	给你前	c=1 d=4.1614e-10 t=102671
gei nin 	给您	c=46 d=0.818731 t=102671
gei qian 	给钱	c=1 d=2.79993e-54 t=102671
gei shi 	给事	c=1 d=3.06851e-14 t=102671
gei ta 	给他	c=11 d=1.70861e-08 t=102671
gei ta 	给她	c=3 d=4.68934e-17 t=102671
gei ta jia 	给他家	c=1 d=1.41772e-77 t=102671
gei ta men 	给他们	c=4 d=4.63644e-17 t=102671
gei ta xpb 	给他写	c=1 d=2.38521e-21 t=102671
gei wo 	给我	c=82 d=0.000349153 t=102671
gei wo ge 	给我个	c=1 d=2.39042e-76 t=102671
gei wo men 	给我们	c=12 d=4.52781e-31 t=102671
gei wo shuo 	给我说	c=1 d=1 t=83980
gei wo shuo yi xia 	给我说一下	c=1 d=1 t=85172
gei wo yi xia 	给我一下	c=1 d=1 t=87363
gei yu 	給予	c=1 d=1.4891e-96 t=102671
gem 	格	c=3 d=1.73973e-28 t=102671
gen 	跟	c=118 d=0.770655 t=102671
gen ben 	根本	c=4 d=2.10279e-09 t=102671
gen bu shang 	跟不上	c=1 d=8.81539e-47 t=102671
gen gu 	跟骨	c=2 d=1.55239e-78 t=102671
gen jin 	跟进	c=1 d=7.56507e-71 t=102671
gen ju 	根据	c=102 d=0.895834 t=102671
gen ni 	跟你	c=5 d=3.84407e-18 t=102671
gen ni men 	跟你们	c=2 d=5.67235e-61 t=102671
gen nin 	跟您	c=2 d=3.92227e-49 t=102671
gen sui 	跟随	c=29 d=2.91736e-08 t=102671
gen ta 	跟他	c=5 d=2.70234e-19 t=102671
gen ta men 	跟他们	c=3 d=5.24735e-32 t=102671
gen wo 	跟我	c=3 d=3.20855e-39 t=102671
gen wo men 	跟我们	c=1 d=7.23788e-139 t=102671
gen wo shuo 	跟我说	c=1 d=1.72655e-72 t=102671
gen wwo 	跟韪	c=1 d=2.74934e-16 t=102671
gen yuan 	根源	c=1 d=3.09651e-62 t=102671
gen zhe 	跟着	c=1 d=6.92669e-122 t=102671
geng 	更	c=28 d=0.377986 t=102671
geng 	耿	c=1 d=2.86282e-80 t=102671
geng bu 	更不	c=0 d=3.49201e-36 t=102671
geng bu hao 	更不好	c=1 d=3.50952e-35 t=102671
geng cha 	更差	c=1 d=1.93644e-10 t=102671
geng da 	更大	c=1 d=7.17387e-64 t=102671
geng di 	更低	c=2 d=1.19966e-24 t=102671
geng di 	耕地	c=2 d=2.03767e-43 t=102671
geng duo 	更多	c=7 d=1.6727e-34 t=102671
geng fang bian 	更方便	c=1 d=3.02859e-07 t=102671
geng gai 	更改	c=2 d=3.22079e-25 t=102671
geng gao 	更高	c=4 d=9.6259e-23 t=102671
geng gui 	更贵	c=1 d=0.000212834 t=102671
geng hao 	更好	c=45 d=0.00729913 t=102671
geng hua 	梗化	c=1 d=9.86662e-137 t=102671
geng huan 	更换	c=23 d=3.15935e-22 t=102671
geng jia 	更加	c=53 d=0.700917 t=102671
geng kao 	更考	c=1 d=7.45522e-46 t=102671
geng kuai 	更快	c=4 d=3.13646e-07 t=102671
geng man 	更慢	c=2 d=1.15939e-34 t=102671
geng neng 	更能	c=2 d=1 t=93129
geng qiang 	更强	c=2 d=4.57426e-64 t=102671
geng qing song 	更轻松	c=1 d=8.87108e-121 t=102671
geng rong yi 	更容易	c=1 d=0.191092 t=102671
geng shao 	更少	c=1 d=1.95738e-107 t=102671
geng xiang 	更像	c=1 d=1 t=87387
geng xiao 	更小	c=4 d=0.00396599 t=102671
geng xin 	更新	c=15 d=2.53624e-08 t=102671
geng you 	更有	c=2 d=2.87482e-41 t=102671
geng zheng 	更正	c=5 d=0.000437252 t=102671
gew 	各	c=5 d=0.166127 t=102671
gfm 	根	c=3 d=0.00132678 t=102671
ghj 	钢	c=3 d=1.23997e-10 t=102671
gja 	甘	c=5 d=4.18982e-90 t=102671
gjau 	干	c=2 d=7.07636e-70 t=102671
gjm 	杆	c=15 d=0.0195099 t=102671
gjt 	赶	c=1 d=2.97731e-12 t=102671
gjv 	敢	c=1 d=1 t=80490
glz 	逛	c=3 d=5.81089e-85 t=102671
goj 	锅	c=3 d=3.41763e-17 t=102671
gong 	共	c=2 d=3.33484e-52 t=102671
gong 	工	c=13 d=2.2386e-10 t=102671
gong an ju 	公安局	c=1 d=1.00092e-99 t=102671
gong bu 	公布	c=11 d=1.01027e-07 t=102671
gong cheng 	工程	c=12 d=1.1822 t=102671
gong cheng zhi ye ji shu 	工程职业技术	c=1 d=0.612626 t=102671
gong cun 	共存	c=3 d=6.27687e-22 t=102671
gong gao 	公告	c=1 d=8.7634e-95 t=102671
gong gong 	公共	c=0 d=1.92227e-101 t=102671
gong gong mo ban 	公共模版	c=1 d=1.93191e-100 t=102671
gong guan 	公关	c=1 d=1 t=98207
gong hao 	功耗	c=4 d=1.9714e-44 t=102671
gong ju 	工具	c=17 d=2.12906e-08 t=102671
gong ju lan 	工具栏	c=2 d=4.13998e-133 t=102671
gong ju shu 	工具书	c=1 d=2.65659e-24 t=102671
gong kai 	公开	c=23 d=0.179066 t=102671
gong kuang 	工况	c=4 d=1.24303e-30 t=102671
gong kuang qi ye 	工矿企业	c=1 d=1.24926e-30 t=102671
gong li 	公立	c=1 d=6.50931e-38 t=102671
gong li 	公里	c=4 d=6.47685e-38 t=102671
gong lv 	功率	c=3 d=1.7461e-28 t=102671
gong mao 	工贸	c=3 d=2.85358e-125 t=102671
gong neng 	供能	c=1 d=1.14294e-13 t=102671
gong neng 	功能	c=14 d=0.0190633 t=102671
gong neng xing 	功能性	c=1 d=5.87109e-118 t=102671
gong ping 	公平	c=1 d=5.04503e-40 t=102671
gong ren 	工人	c=4 d=3.80492e-07 t=102671
gong shang 	工商	c=21 d=1.6416 t=102671
gong shang zhi ye 	工商职业	c=4 d=3.50236e-11 t=102671
gong shi 	公式	c=24 d=1.24629e-28 t=102671
gong shi 	共识	c=3 d=2.96536 t=93427
gong si 	公司	c=99 d=0.331211 t=102671
gong tong 	共同	c=1 d=4.14276e-16 t=102671
gong wei 	工位	c=4 d=6.80914e-09 t=102671
gong xian 	贡献	c=2 d=3.48502e-110 t=102671
gong xiang 	共享	c=2 d=0.100332 t=102671
gong xu 	供需	c=1 d=1.9885e-28 t=102671
gong xu 	工序	c=8 d=6.67431e-09 t=102671
gong ye 	公冶	c=3 d=2.97165e-19 t=102671
gong ye 	工业	c=26 d=0.568986 t=102671
gong yi 	公益	c=1 d=4.54463e-17 t=102671
gong yi 	工艺	c=1 d=4.26674e-10 t=102671
gong ying 	共赢	c=1 d=7.87298e-11 t=102671
gong yun 	公允	c=2 d=1.50938e-20 t=102671
gong zhang 	公章	c=18 d=0.000335463 t=102671
gong zhe 	弓着	c=1 d=7.03376e-126 t=102671
gong zheng 	公正	c=1 d=1.62639e-16 t=102671
gong zhi chang shi 	公知常识	c=13 d=4.78828e-20 t=102671
gong zhong 	公众	c=2 d=3.12317e-104 t=102671
gong zi 	工资	c=8 d=1.43182e-17 t=102671
gong zuo 	工作	c=47 d=0.275271 t=102671
gong zuo bovc; 	工作簿	c=1 d=1.14517e-124 t=102671
gong zuo liang 	工作量	c=2 d=3.30053e-48 t=102671
gong zuo qu 	工作区	c=1 d=0.451581 t=102671
gong zuo ren yuan 	工作人员	c=1 d=6.62979e-136 t=102671
gong zuo ri 	工作日	c=8 d=0.000577355 t=102671
gong zuo tai 	工作台	c=1 d=3.45715e-64 t=102671
gong zuo uioc 	工作时	c=5 d=2.21625e-39 t=102671
gong zuo wen du 	工作温度	c=1 d=1.87731e-145 t=102671
gong zuo xiao lv 	工作效率	c=1 d=0.278037 t=102671
gong zuo yuan li 	工作原理	c=2 d=4.92997e-112 t=102671
gou 	够	c=2 d=0.000717312 t=102671
gou 	狗	c=1 d=5.01597e-119 t=102671
gou cheng 	构成	c=6 d=3.16093e-24 t=102671
gou dian 	购电	c=2 d=9.85248e-32 t=102671
gou jian 	构建	c=4 d=1.45871e-30 t=102671
gou mai 	购买	c=6 d=2.1471e-19 t=102671
gou mai liang 	购买量	c=1 d=8.60827e-32 t=102671
gou neng 	够能	c=1 d=3.31257e-32 t=102671
gou tong 	沟通	c=26 d=0.213312 t=102671
gou tong yi 	够同意	c=1 d=3.13382e-144 t=102671
gou tou 	狗头	c=1 d=3.77642e-15 t=102671
gou wu 	购物	c=2 d=1.60351e-12 t=102671
gou xuan 	勾选	c=1 d=1.96671e-16 t=102671
gou zao 	构造	c=5 d=1.43646e-25 t=102671
goviju 	国家知识产权局	c=52 d=0.00403133 t=102671
gow 	郭	c=24 d=1.26576 t=102671
gowe; qiang 	郭强	c=7 d=4.38907e-19 t=102671
grb 	冠	c=3 d=0.822835 t=102671
grb 	官	c=3 d=3.81274e-98 t=102671
grv 	管	c=3 d=7.51644e-14 t=102671
grv tir 	管体	c=24 d=4.17019 t=97857
gry 	观	c=1 d=2.12408e-98 t=102671
gsa 	工	c=1 d=3.03168e-19 t=102671
gsa; jmr 	工件	c=7 d=8.98459e-06 t=102671
gsb 	公	c=1 d=1.42949e-86 t=102671
gsb; vid; xlpy; yuw 	公治祥玉	c=1 d=1.70659e-141 t=102671
gsb; yedk; xlpy; yuw; 	公冶祥玉	c=1 d=3.06332e-141 t=102671
gsl 	龚	c=13 d=2.80496e-74 t=102671
gsl; xiao xlpy; 	龚小祥	c=2 d=8.61867e-141 t=102671
gsr 	供	c=6 d=1.29659e-11 t=102671
gsr qip 	供气	c=9 d=4.30513e-13 t=102671
gsr qip cang 	供气仓	c=2 d=8.12525e-124 t=102671
gsr qkq 	供氢	c=7 d=3.14599e-13 t=102671
gu dai 	古代	c=1 d=1.19438e-119 t=102671
gu dao 	孤岛	c=1 d=7.08077e-28 t=102671
gu ding 	固定	c=104 d=0.776812 t=102671
gu ding ban 	固定板	c=3 d=2.57328 t=99909
gu ding huan 	固定环	c=9 d=4.54902e-116 t=102671
gu ding jian 	固定件	c=5 d=2.50701e-124 t=102671
gu ding ksz 	固定孔	c=1 d=1.81403e-124 t=102671
gu ge 	谷歌	c=7 d=3.33903e-08 t=102671
gu hua 	固化	c=5 d=3.84174 t=93945
gu ji 	估计	c=16 d=0.918512 t=102671
gu jia 	骨架	c=7 d=1.85175e-06 t=102671
gu jian 	固件	c=1 d=1 t=98576
gu li 	鼓励	c=2 d=4.70315e-38 t=102671
gu tai 	固态	c=1 d=1 t=93799
gu ti 	固体	c=2 d=0.44235 t=102671
gu tou 	骨头	c=1 d=1.64509e-121 t=102671
gu yi 	故意	c=2 d=1.73846e-94 t=102671
gu you 	固有	c=1 d=6.8349e-24 t=102671
gu zhang 	故障	c=14 d=1.18213 t=102671
gua 	刮	c=3 d=1.99501 t=99395
gua 	挂	c=14 d=0.0169078 t=102671
gua ban 	刮板	c=1 d=1 t=94031
gua ban 	挂板	c=9 d=0.342382 t=102671
gua ceng 	刮蹭	c=1 d=1.94681e-14 t=102671
gua gou 	挂钩	c=1 d=5.74659e-13 t=102671
gua jia 	挂架	c=7 d=0.716028 t=102671
gua xiao 	刮削	c=1 d=1 t=99019
gua zheng 	挂证	c=1 d=2.63606e-21 t=102671
guan 	关	c=2 d=2.762e-70 t=102671
